id,raw_copper,health,name,lvl_min,lvl_max,type_enemy,type_life,react_alliance,react_horde,lvl,vendor_worth,ah_worth
6,2,42,Kobold Vermin,1,2,0,7,-1.0,,1,4.0,6444.0
30,4,102,Forest Spider,5,6,0,1,-1.0,-1.0,5,6.0,11964.0
36,13,247,Harvest Golem,11,12,0,9,-1.0,-1.0,11,61.0,489.0
38,2,86,Defias Thug,3,4,0,7,-1.0,-1.0,3,4.0,579241.0
40,6,120,Kobold Miner,6,7,0,7,-1.0,-1.0,6,21.0,3294.0
43,4,156,Mine Spider,8,9,0,1,-1.0,,8,10.0,5076.0
46,8,198,Murloc Forager,9,10,0,7,-1.0,-1.0,9,29.0,6159.0
48,49,573,Skeletal Warrior,21,22,0,6,-1.0,-1.0,21,126.0,398.0
60,7,148,Ruklar the Trapper,8,8,0,7,-1.0,,8,22.0,333.0
61,13,222,Thuros Lightfingers,11,11,4,7,-1.0,,11,93.0,214381.0
69,3,55,Timber Wolf,2,2,0,1,0.0,,2,8.0,1911797.0
79,9,257,Narg the Taskmaster,10,10,4,7,-1.0,,10,65.0,454.0
80,3,71,Kobold Laborer,3,4,0,7,-1.0,,3,4.0,6806.0
92,0,0,Rock Elemental,39,40,0,4,-1.0,-1.0,39,597.0,3718.0
94,4,120,Defias Cutpurse,5,6,0,7,-1.0,-1.0,5,15.0,417968.0
95,13,222,Defias Smuggler,11,12,0,7,-1.0,-1.0,11,47.0,506.0
97,7,156,Riverpaw Runt,8,9,0,7,-1.0,-1.0,8,28.0,58626.0
98,30,386,Riverpaw Taskmaster,17,18,0,7,-1.0,-1.0,17,97.0,305.0
99,9,198,Morgaine the Sly,10,10,4,7,-1.0,,10,121.0,230267.0
100,9,247,Gruff Swiftbite,12,12,4,7,-1.0,,12,24.0,27543.0
103,4,102,Garrick Padfoot,5,5,0,7,-1.0,,5,2.0,341963.0
113,4,120,Stonetusk Boar,5,6,0,1,0.0,0.0,5,10.0,7243.0
114,18,328,Harvest Watcher,14,15,0,9,-1.0,-1.0,14,67.0,219.0
115,30,417,Harvest Reaper,17,18,0,9,-1.0,-1.0,17,77.0,237.0
116,7,176,Defias Bandit,8,9,0,7,-1.0,-1.0,8,23.0,346970.0
117,13,222,Riverpaw Gnoll,11,12,0,7,-1.0,-1.0,11,44.0,613.0
118,5,198,Prowler,9,10,0,1,-1.0,-1.0,9,23.0,64611.0
119,6,222,Longsnout,10,11,0,1,0.0,0.0,10,23.0,4520.0
121,21,356,Defias Pathstalker,15,16,0,7,-1.0,-1.0,15,90.0,370.0
122,30,417,Defias Highwayman,17,18,0,7,-1.0,-1.0,17,125.0,362.0
123,16,300,Riverpaw Mongrel,13,14,0,7,-1.0,-1.0,13,61.0,234.0
124,21,328,Riverpaw Brute,15,16,0,7,-1.0,-1.0,15,94.0,309.0
125,37,484,Riverpaw Overseer,19,20,0,7,-1.0,,19,89.0,297.0
126,14,247,Murloc Coastrunner,12,13,0,7,-1.0,-1.0,12,56.0,1402.0
127,33,404,Murloc Tidehunter,18,19,0,7,-1.0,-1.0,18,90.0,1222.0
154,0,356,Greater Fleshripper,16,17,0,1,-1.0,-1.0,16,74.0,744.0
157,0,300,Goretusk,14,15,0,1,0.0,0.0,14,57.0,383.0
171,21,356,Murloc Warrior,15,16,0,7,-1.0,-1.0,15,102.0,1441.0
193,1100,0,Blue Dragonspawn,50,51,1,2,-1.0,-1.0,50,222.0,568.0
199,6,222,Young Fleshripper,10,11,0,1,-1.0,-1.0,10,35.0,108591.0
202,58,664,Skeletal Horror,23,24,0,6,-1.0,-1.0,23,180.0,473.0
203,53,472,Skeletal Mage,22,23,0,6,-1.0,-1.0,22,128.0,404.0
205,89,896,Nightbane Dark Runner,28,29,0,7,-1.0,-1.0,28,466.0,1100.0
206,96,950,Nightbane Vile Fang,29,30,0,7,-1.0,-1.0,29,418.0,1115.0
210,75,840,Bone Chewer,26,27,0,6,-1.0,-1.0,26,228.0,476.0
212,96,950,Splinter Fist Warrior,29,30,0,7,-1.0,-1.0,29,343.0,762.0
213,0,484,Starving Dire Wolf,19,20,0,1,-1.0,-1.0,19,145.0,324.0
215,66,664,Defias Night Runner,24,25,0,7,-1.0,-1.0,24,225.0,473.0
217,0,484,Venom Web Spider,19,20,0,1,-1.0,-1.0,19,146.0,548.0
218,64,713,Grave Robber,24,25,0,7,-1.0,-1.0,24,178.0,437.0
232,59,617,Farmer Ray,23,23,0,7,1.0,-1.0,23,336.0,1480.0
257,2,71,Kobold Worker,3,3,0,7,-1.0,,3,4.0,8102.0
285,6,137,Murloc,6,7,0,7,-1.0,-1.0,6,17.0,5177.0
299,5,42,Young Wolf,1,1,0,1,0.0,,1,8.0,1902861.0
300,134,0,Zzarc' Vul,30,30,0,7,-1.0,,30,107.0,205.0
314,109,0,Eliza,31,31,1,6,-1.0,,31,280.0,503.0
315,138,0,Stalvan Mistmantle,32,32,0,6,-1.0,-1.0,32,144.0,275.0
327,7,156,Goldtooth,8,8,0,7,-1.0,,8,15.0,1272.0
330,10,229,Princess,9,9,0,1,0.0,,9,14.0,2239.0
334,223,0,Gath'Ilzogg,26,26,1,7,-1.0,-1.0,26,112.0,238.0
335,65,0,Singe,24,24,1,2,-1.0,,24,265.0,1561.0
345,0,0,Bellygrub,24,24,0,1,-1.0,-1.0,24,102.0,361.0
390,6,137,Porcine Entourage,7,7,0,1,0.0,,7,14.0,3933.0
391,109,581,Old Murk-Eye,20,20,0,7,-1.0,-1.0,20,147.0,1022.0
397,79,0,Morganth,27,27,1,7,-1.0,,27,57.0,182.0
412,764,0,Stitches,35,35,1,6,-1.0,-1.0,35,639.0,81.0
422,33,417,Murloc Flesheater,18,19,0,7,-1.0,-1.0,18,85.0,225.0
423,21,328,Redridge Mongrel,15,16,0,7,-1.0,-1.0,15,94.0,345.0
424,28,386,Redridge Poacher,16,17,0,7,-1.0,-1.0,16,108.0,350.0
426,30,417,Redridge Brute,17,18,0,7,-1.0,-1.0,17,90.0,267.0
428,0,449,Dire Condor,18,19,0,1,-1.0,-1.0,18,98.0,1482.0
429,69,640,Shadowhide Darkweaver,25,26,0,7,-1.0,-1.0,25,201.0,530.0
430,33,379,Redridge Mystic,18,19,0,7,-1.0,-1.0,18,82.0,260.0
431,70,787,Shadowhide Slayer,25,26,0,7,-1.0,-1.0,25,261.0,620.0
432,59,664,Shadowhide Brute,23,24,0,7,-1.0,-1.0,23,189.0,515.0
433,53,573,Shadowhide Gnoll,22,23,0,7,-1.0,,22,170.0,518.0
434,49,531,Rabid Shadowhide Gnoll,21,22,0,7,-1.0,,21,148.0,454.0
435,64,713,Blackrock Champion,24,25,0,7,-1.0,-1.0,24,261.0,725.0
436,164,0,Blackrock Shadowcaster,22,23,1,7,-1.0,-1.0,22,262.0,828.0
437,49,531,Blackrock Renegade,21,22,0,7,-1.0,-1.0,21,160.0,422.0
440,36,484,Blackrock Grunt,19,20,0,7,-1.0,-1.0,19,94.0,368.0
441,30,354,Black Dragon Whelp,17,18,0,2,-1.0,-1.0,17,83.0,214.0
442,0,356,Tarantula,15,16,0,1,-1.0,-1.0,15,83.0,317.0
445,49,531,Redridge Alpha,21,22,0,7,-1.0,,21,218.0,616.0
446,37,484,Redridge Basher,19,20,0,7,-1.0,-1.0,19,115.0,374.0
448,27,666,Hogger,11,11,1,7,-1.0,-1.0,11,57.0,25392.0
449,27,386,Defias Knuckleduster,16,17,0,7,-1.0,-1.0,16,117.0,344.0
450,33,379,Defias Renegade Mage,18,19,0,7,-1.0,-1.0,18,87.0,330.0
452,28,356,Riverpaw Bandit,16,17,0,7,-1.0,-1.0,16,83.0,281.0
453,34,377,Riverpaw Mystic,18,19,0,7,-1.0,-1.0,18,107.0,342.0
454,8,273,Young Goretusk,12,13,0,1,0.0,0.0,12,49.0,372.0
456,16,253,Murloc Minor Oracle,13,14,0,7,-1.0,-1.0,13,62.0,1358.0
458,28,386,Murloc Hunter,16,17,0,7,-1.0,-1.0,16,84.0,1222.0
462,0,787,Vultros,26,26,4,1,-1.0,,26,1901.0,28251.0
471,0,198,Mother Fang,10,10,4,1,-1.0,,10,64.0,278.0
472,15,247,Fedfennel,12,12,4,7,-1.0,,12,258.0,37537.0
473,9,198,Morgan the Collector,10,10,0,7,-1.0,,10,20.0,246183.0
474,8,178,Defias Rogue Wizard,9,10,0,7,-1.0,-1.0,9,27.0,319225.0
475,6,102,Kobold Tunneler,5,6,0,7,-1.0,-1.0,5,14.0,4061.0
476,7,126,Kobold Geomancer,7,8,0,7,-1.0,,7,26.0,1841.0
